HomeTeam,AwayTeam,FTHG,FTAG,HTHG,HTAG,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
Buyuksehyr,Besiktas,1,1,1,1,4.75,3.6,1.8,4.5,3.5,1.7,3.9,3.3,1.8,3.75,3.3,1.8,4,3.25,1.8,17,4.92,4.23,3.71,3.34,1.87,1.8,15,2.2,2,1.8,1.75,11,0.5,2.12,2.07,1.83,1.82
Diyarbakirspor,Ankaragucu,2,2,1,2,2.38,3.2,2.8,2.3,3.2,2.8,2.2,3.3,2.8,2.3,3.2,2.62,2.4,3.2,2.62,22,2.64,2.39,3.25,3.19,2.98,2.75,19,2.33,2.14,1.7,1.64,13,0,1.85,1.79,2.11,1.98
Sivasspor,Trabzonspor,1,2,0,1,2.7,3.2,2.5,2.5,3.1,2.55,2.5,3.2,2.5,2.5,3.1,2.5,2.5,3.2,2.5,22,2.91,2.62,3.25,3.16,2.68,2.52,20,2.22,2.07,1.75,1.68,13,0,2.05,1.94,1.89,1.83
Bursaspor,Kasimpasa,2,1,0,0,1.44,3.8,7.5,1.45,4,6.25,1.45,3.9,6,1.5,3.4,6,1.5,3.6,6,21,1.53,1.48,4.38,3.84,8.58,6.52,19,2.12,2.03,1.82,1.73,12,-1,1.81,1.78,2.15,2.11
Denizlispor,Fenerbahce,0,2,0,1,4,3.4,1.83,3.85,3.35,1.8,4.2,3.3,1.75,4,3.4,1.73,4.2,3.4,1.73,22,4.45,4.06,3.67,3.38,1.88,1.81,20,1.91,1.82,2.01,1.92,13,0.5,2.08,2.04,1.88,1.84
Gaziantepspor,Galatasaray,2,3,1,2,4,3.4,1.83,4.3,3.35,1.75,3.7,3.3,1.85,3.75,3.3,1.8,4,3.3,1.8,21,4.4,3.97,3.6,3.29,1.91,1.85,18,2.03,1.93,1.9,1.81,12,0,3,2.83,1.36,1.35
Genclerbirligi,Kayserispor,0,0,0,0,2.2,3.2,3.1,2.25,3.2,2.9,2.2,3.2,2.9,2.3,3.2,2.62,2.25,3.2,2.8,22,2.3,2.2,3.35,3.22,3.71,3.04,20,2.27,2.13,1.72,1.64,12,0,1.73,1.59,2.4,2.17
Manisaspor,Eskisehirspor,0,0,0,0,2.15,3.2,3.2,2.15,3.2,3.1,2,3.3,3.2,2.25,3.2,2.75,2.1,3.3,3,22,2.3,2.19,3.3,3.21,3.48,3.07,20,2.2,2.07,1.76,1.68,12,0,1.67,1.59,2.35,2.18
Ankaragucu,Manisaspor,1,1,0,0,2,3.3,3.8,2,3.25,3.4,2,3.2,3.3,1.91,3.2,3.5,1.9,3.25,3.6,26,2.1,1.96,3.45,3.25,4,3.59,24,2.2,2.07,1.8,1.68,16,0,1.46,1.42,2.75,2.56
Galatasaray,Denizlispor,4,1,1,1,1.22,5.5,15,1.2,5.5,11,1.25,4.8,9.5,1.22,4.8,10,1.2,5.5,11,25,1.26,1.22,6,5.38,16.1,11.41,24,1.66,1.6,2.38,2.2,15,-1.5,1.83,1.8,2.11,2.08
Trabzonspor,Diyarbakirspor,1,2,1,0,1.3,5,11,1.3,4.35,9,1.33,4.2,8,1.29,4.5,8,1.25,4.5,10,25,1.35,1.31,5,4.52,11,9.09,23,1.8,1.68,2.21,2.06,14,0,1.08,1.05,8.5,7.26
Eskisehirspor,Bursaspor,3,2,1,0,2.8,3.25,2.5,2.5,3.25,2.5,2.7,3.1,2.4,2.6,3.1,2.4,2.6,3.25,2.4,26,2.96,2.69,3.25,3.15,2.61,2.48,24,2.26,2.16,1.7,1.62,15,0,2.12,1.99,1.85,1.78
Fenerbahce,Sivasspor,3,0,0,0,1.44,4.2,7.5,1.5,3.75,5.75,1.45,3.9,6,1.4,3.75,7,1.35,4.5,7,26,1.47,1.42,4.57,3.99,8.4,7.26,24,1.8,1.71,2.19,2.05,16,-1,1.77,1.73,2.22,2.16
Kasimpasa,Buyuksehyr,1,3,0,1,2.8,3.2,2.5,2.5,3.25,2.5,2.5,3.1,2.6,2.5,3.1,2.5,2.7,3.25,2.3,24,3.13,2.7,3.25,3.16,2.56,2.46,22,2.28,2.14,1.67,1.64,14,0,2.2,2.01,1.85,1.78
Kayserispor,Gaziantepspor,1,1,1,0,2.05,3.3,3.6,2,3.25,3.4,1.9,3.2,3.6,2,3.2,3.2,2,3.3,3.25,27,2.14,2.03,3.4,3.23,3.83,3.43,25,2.15,1.99,1.85,1.75,17,0,1.5,1.47,2.55,2.44
Besiktas,Antalyaspor,2,0,0,0,1.3,5.25,10,1.25,4.8,10,1.27,4.6,9,1.2,5,11,1.2,5.5,11,27,1.32,1.26,5.5,4.9,13,9.84,25,1.91,1.83,2.06,1.9,14,-1.5,2,1.96,1.94,1.91
Bursaspor,Ankaragucu,1,0,1,0,1.75,3.4,4.33,1.75,3.35,4.3,1.75,3.3,4.2,1.73,3.4,4,1.67,3.5,4.5,30,1.76,1.71,3.75,3.39,5.71,4.64,25,2.2,1.98,1.9,1.75,13,-0.5,1.73,1.7,2.32,2.2
Buyuksehyr,Eskisehirspor,0,0,0,0,2.25,3.2,3,2.25,3.2,2.85,2.1,3.1,3.2,2.2,3.2,2.8,2.25,3.25,2.9,28,2.42,2.27,3.31,3.2,3.19,2.93,23,2.16,2.08,1.8,1.69,12,-0.25,2.08,2.02,1.86,1.83
Genclerbirligi,Besiktas,0,0,0,0,4.33,3.25,1.8,4.1,3.3,1.8,4.2,3.3,1.75,3.8,3.25,1.8,4.5,3.3,1.75,28,5,4.4,3.61,3.32,1.86,1.78,23,2.2,2.05,1.83,1.72,11,0.5,2.1,2.05,1.86,1.81
Antalyaspor,Kasimpasa,2,0,0,0,1.9,3.25,3.8,1.9,3.25,3.65,1.85,3.2,3.8,1.91,3.2,3.5,1.85,3.3,3.8,29,1.92,1.87,3.56,3.3,4.63,3.9,23,2.25,2.11,1.7,1.65,13,-0.5,1.92,1.88,2.03,1.98
Galatasaray,Kayserispor,4,1,2,1,1.3,4.75,9,1.3,4.5,8.5,1.3,4.4,8.5,1.29,4.5,8,1.3,4.5,8,30,1.37,1.31,5.5,4.57,12,9.11,25,1.8,1.7,2.29,2.07,13,-1.25,1.74,1.69,2.31,2.21
Manisaspor,Trabzonspor,1,0,1,0,3.3,3.2,2.1,3.2,3.2,2.05,3.2,3.1,2.1,3.2,3.2,2,3.2,3.25,2.1,28,3.7,3.25,3.3,3.21,2.24,2.1,24,2.28,2.12,1.72,1.66,14,0.5,1.76,1.72,2.26,2.16
